w,age,annuity,age_bin,db_pension,stock_owner
15139.78060231747,70,0,65–74,0,0
15274.500325614912,70,0,65–74,0,0
15818.188828467542,70,0,65–74,0,0
15831.142316310883,70,0,65–74,0,0
16178.123573629322,70,0,65–74,0,0
1183.173770420023,46,0,40–54,0,0
1229.241990085501,46,0,40–54,0,0
1265.5173850597134,46,0,40–54,0,0
1264.5405897450994,46,0,40–54,0,0
1269.056557532298,46,0,40–54,0,0
3394.3465373471327,68,0,65–74,1,1
3359.161851811724,68,0,65–74,1,1
3099.766743904213,68,0,65–74,1,1
3457.5679739834786,68,0,65–74,1,1
3358.864577840858,68,0,65–74,1,1
3109.744269471929,74,0,65–74,1,0
3266.4558801427374,74,0,65–74,1,0
2985.8453698572785,74,0,65–74,1,0
3059.461948979482,74,0,65–74,1,0
3060.346739577479,74,0,65–74,1,0
35957.40554339989,19,0,18–39,0,1
36762.43602338605,19,0,18–39,0,1
36353.51770336777,19,0,18–39,0,1
36919.332982441214,19,0,18–39,0,1
36652.688343197224,19,0,18–39,0,1
17431.114439927456,74,0,65–74,1,1
18376.916035678132,74,0,65–74,1,1
19198.814884155956,74,0,65–74,1,1
18478.29152867339,74,0,65–74,1,1
17653.891007793925,74,0,65–74,1,1
293.34538019219815,52,0,40–54,0,1
289.3169947340263,52,0,40–54,0,1
290.9136030446783,52,0,40–54,0,1
297.25986558361217,52,0,40–54,0,1
295.99435345092314,52,0,40–54,0,1
12296.46608783074,60,0,55–64,0,0
12364.182077968999,60,0,55–64,0,0
12177.851677184324,60,0,55–64,0,0
12380.755964686392,60,0,55–64,0,0
12205.6406461161,60,0,55–64,0,0
17754.706741550366,43,0,40–54,0,1
18226.969423628645,43,0,40–54,0,1
18945.92922856276,43,0,40–54,0,1
18195.528654709888,43,0,40–54,0,1
11015.8418036524,43,0,40–54,0,1
38963.395465283225,67,0,65–74,0,1
35017.45849425155,67,0,65–74,0,1
35791.37778396585,67,0,65–74,0,1
37043.45223227229,67,0,65–74,0,1
35414.97369719093,67,0,65–74,0,1
9115.683774865627,46,0,40–54,0,0
8218.865423807836,46,0,40–54,0,0
8616.553605383862,46,0,40–54,0,0
8892.898898439085,46,0,40–54,0,0
8068.646361085798,46,0,40–54,0,0
31326.138117044313,51,0,40–54,0,0
31297.593909744242,51,0,40–54,0,0
31483.587018910865,51,0,40–54,0,0
31381.05555071941,51,0,40–54,0,0
31363.85595298768,51,0,40–54,0,0
18407.79648329412,77,0,75+,0,0
17435.480116558294,77,0,75+,0,0
10556.250872479932,77,0,75+,0,0
10715.736926364405,77,0,75+,0,0
10971.159982745326,77,0,75+,0,0
20021.330961781892,57,0,55–64,0,0
30053.596980586328,57,0,55–64,0,0
31071.392379404893,57,0,55–64,0,0
30272.524113487147,57,0,55–64,0,0
30666.40630408593,57,0,55–64,0,0
92227.74247784566,30,0,18–39,0,1
89408.17418956991,30,0,18–39,0,1
91193.05972027621,30,0,18–39,0,1
90272.43429294704,30,0,18–39,0,1
89999.53043705462,30,0,18–39,0,1
17131.893773464133,56,0,55–64,0,1
15812.219487264501,56,0,55–64,0,1
16334.62158308123,56,0,55–64,0,1
16173.64007756994,56,0,55–64,0,1
15937.856424120178,56,0,55–64,0,1
8884.75952254904,70,0,65–74,0,1
8827.183371460636,70,0,65–74,0,1
8993.68950942891,70,0,65–74,0,1
8808.058452276204,70,0,65–74,0,1
8963.071389781566,70,0,65–74,0,1
41086.06934121892,57,0,55–64,1,1
41238.71970909916,57,0,55–64,1,1
44390.30100285534,57,0,55–64,1,1
42340.8415359145,57,0,55–64,1,1
45075.46612628867,57,0,55–64,1,1
114074.22082599686,32,0,18–39,0,0
110574.29959802935,32,0,18–39,0,0
111717.91353864399,32,0,18–39,0,0
111546.86609519094,32,0,18–39,0,0
110573.38450473918,32,0,18–39,0,0
13400.701845537262,46,0,40–54,0,0
12806.245241977249,46,0,40–54,0,0
13078.192114021913,46,0,40–54,0,0
13064.265569625917,46,0,40–54,0,0
12884.123040369936,46,0,40–54,0,0
2229.2409342006763,75,0,65–74,0,1
2227.2567248909086,75,0,65–74,0,1
2245.6888979622204,75,0,65–74,0,1
2271.241538041686,75,0,65–74,0,1
2266.0578023828275,75,0,65–74,0,1
17124.936020244695,52,0,40–54,0,1
18766.494611231825,52,0,40–54,0,1
20366.447789308393,52,0,40–54,0,1
18237.5240283319,52,0,40–54,0,1
17645.746887669608,52,0,40–54,0,1
100589.95048550253,62,0,55–64,1,1
93890.26646101437,62,0,55–64,1,1
95310.93664849715,62,0,55–64,1,1
94947.68192706477,62,0,55–64,1,1
94285.97184572145,62,0,55–64,1,1
34667.686677660546,63,0,55–64,0,1
40821.22916586202,63,0,55–64,0,1
17549.473082723805,63,0,55–64,0,1
35030.70774998375,63,0,55–64,0,1
15207.39006282075,63,0,55–64,0,1
239.32925584740497,57,0,55–64,0,1
237.2394168511328,57,0,55–64,0,1
239.09853051762687,57,0,55–64,0,1
